cohort	cell_type	acadl_mean	acadl_median	n_cells
GSE154778	bcell_plasma	0.014026063	0.0	367
GSE154778	caf_fibroblast	0.011975628	0.0	2101
GSE154778	endothelial	0.0	0.0	213
GSE154778	malignant_epithelial	0.004105424	0.0	3710
GSE154778	myeloid	0.0	0.0	1257
GSE154778	tcell_nk	0.0	0.0	352
GSE202051	acinar_normal	0.5035142	0.0	5357
GSE202051	bcell_plasma	0.00039820108	0.0	1855
GSE202051	caf_fibroblast	0.024638062	0.0	54935
GSE202051	ductal_normal	0.13619995	0.0	32851
GSE202051	endothelial	0.002821241	0.0	19258
GSE202051	malignant_epithelial	0.015396542	0.0	64538
GSE202051	myeloid	0.0013269004	0.0	11938
GSE202051	tcell_nk	0.00046545346	0.0	7668
GSE202051	unknown	0.048331868	0.0	26588
Peng_et_al	acinar_normal	0.07840056	0.0	686
Peng_et_al	bcell_plasma	9.776668e-05	0.0	2658
Peng_et_al	caf_fibroblast	0.016338069	0.0	2723
Peng_et_al	ductal_normal	0.04391538	0.0	401
Peng_et_al	endothelial	0.0	0.0	4059
Peng_et_al	malignant_epithelial	0.0015343399	0.0	13014
Peng_et_al	myeloid	3.9019862e-05	0.0	12734
Peng_et_al	tcell_nk	0.0004232578	0.0	10613
