gene_set	protein	n	coef_unadjusted	pval_unadjusted	coef_purity_grade_stage_adjusted	pval_purity_grade_stage_adjusted	covariates_used	fdr_unadjusted	fdr_purity_grade_stage_adjusted	source
lipid_synthesis_srebp	SREBF1	24	-0.2335	0.245538	-0.0747	0.768331	purity, grade, stage	0.7723	0.918	bcm
lipid_synthesis_srebp	FASN	67	0.0768	0.342497	0.071	0.379464	purity, grade, stage	0.7723	0.918	bcm
lipid_synthesis_srebp	ACACA	67	0.1281	0.077523	0.1299	0.070324	purity, grade, stage	0.5814	0.5274	bcm
lipid_synthesis_srebp	ACLY	67	0.0174	0.774967	0.0106	0.863485	purity, grade, stage	0.9064	0.918	bcm
lipid_synthesis_srebp	HMGCR	18	0.2002	0.463385	0.1588	0.627325	purity, grade, stage	0.7723	0.918	bcm
lipid_synthesis_srebp	SQLE	67	0.1121	0.242771	0.1149	0.244912	purity, grade, stage	0.7723	0.918	bcm
desaturation_elongation	SCD	65	-0.0287	0.864122	-0.0241	0.884557	purity, grade, stage	0.9258	0.918	bcm
desaturation_elongation	FADS1	20	0.2335	0.372089	0.3337	0.228461	purity, grade, stage	0.7723	0.918	bcm
desaturation_elongation	FADS2	37	0.0162	0.926788	-0.0335	0.859531	purity, grade, stage	0.9268	0.918	bcm
fatty_acid_uptake_oxidation	CD36	67	0.1959	0.327514	0.1423	0.443388	purity, grade, stage	0.7723	0.918	bcm
fatty_acid_uptake_oxidation	FABP4	67	0.2128	0.416379	0.205	0.437968	purity, grade, stage	0.7723	0.918	bcm
fatty_acid_uptake_oxidation	FABP5	67	0.0288	0.749726	0.0401	0.663692	purity, grade, stage	0.9064	0.918	bcm
fatty_acid_uptake_oxidation	CPT1A	67	-0.0559	0.677217	-0.0739	0.588842	purity, grade, stage	0.9064	0.918	bcm
fatty_acid_uptake_oxidation	ACADL	67	-0.8591	0.0	-0.872	0.0	purity, grade, stage	0.0	0.0	bcm
fatty_acid_uptake_oxidation	HADHA	67	-0.0216	0.785582	-0.0083	0.917956	purity, grade, stage	0.9064	0.918	bcm
