gene_set	protein	comparison	n_aggressive	n_reference	median_aggressive	median_reference	effect_size	p_value	fdr	expected_direction	observed_direction	direction_reproduced_at_protein_level	is_simulated	source
lipid_synthesis_srebp	SREBF1	aggressive_vs_reference	14	10	19.3261	19.3979	-0.0718	0.319533	0.7988	up	down	False	False	bcm
lipid_synthesis_srebp	FASN	aggressive_vs_reference	41	26	27.3516	27.2276	0.124	0.082393	0.3264	up	up	True	False	bcm
lipid_synthesis_srebp	ACACA	aggressive_vs_reference	41	26	23.8876	23.6705	0.2171	0.018545	0.1391	up	up	True	False	bcm
lipid_synthesis_srebp	ACLY	aggressive_vs_reference	41	26	27.5582	27.5737	-0.0155	0.907813	0.9727	up	down	False	False	bcm
lipid_synthesis_srebp	HMGCR	aggressive_vs_reference	11	7	18.1676	17.953	0.2146	0.389578	0.8348	up	up	True	False	bcm
lipid_synthesis_srebp	SQLE	aggressive_vs_reference	41	26	21.3463	21.1747	0.1716	0.087038	0.3264	up	up	True	False	bcm
desaturation_elongation	SCD	aggressive_vs_reference	39	26	21.7774	21.7867	-0.0093	0.978634	0.9786	up	down	False	False	bcm
desaturation_elongation	FADS1	aggressive_vs_reference	12	8	18.8518	18.5053	0.3464	0.24716	0.7415	up	up	True	False	bcm
desaturation_elongation	FADS2	aggressive_vs_reference	22	15	20.0097	19.9587	0.051	0.901523	0.9727	up	up	True	False	bcm
fatty_acid_uptake_oxidation	CD36	aggressive_vs_reference	41	26	22.4996	22.4103	0.0893	0.624896	0.9373	down	up	False	False	bcm
fatty_acid_uptake_oxidation	FABP4	aggressive_vs_reference	41	26	26.3902	26.031	0.3592	0.463323	0.8667	down	up	False	False	bcm
fatty_acid_uptake_oxidation	FABP5	aggressive_vs_reference	41	26	28.4619	28.3715	0.0904	0.699502	0.9539	down	up	False	False	bcm
fatty_acid_uptake_oxidation	CPT1A	aggressive_vs_reference	41	26	24.5594	24.6175	-0.0581	0.520016	0.8667	down	down	True	False	bcm
fatty_acid_uptake_oxidation	ACADL	aggressive_vs_reference	41	26	23.1488	23.7212	-0.5724	0.0	0.0	down	down	True	False	bcm
fatty_acid_uptake_oxidation	HADHA	aggressive_vs_reference	41	26	28.4741	28.4278	0.0463	0.887451	0.9727	down	up	False	False	bcm
