gene_set	protein	n	coef_unadjusted	pval_unadjusted	coef_purity_grade_stage_adjusted	pval_purity_grade_stage_adjusted	covariates_used	fdr_unadjusted	fdr_purity_grade_stage_adjusted	source
lipid_synthesis_srebp	SREBF1	31	-0.0262	0.893257	0.0076	0.972627	purity, grade, stage	0.9552	0.9726	umich
lipid_synthesis_srebp	FASN	94	0.105	0.082004	0.0899	0.136224	purity, grade, stage	0.2608	0.3236	umich
lipid_synthesis_srebp	ACACA	94	0.167	0.005697	0.1582	0.009844	purity, grade, stage	0.0427	0.0738	umich
lipid_synthesis_srebp	ACLY	94	-0.0576	0.291973	-0.0769	0.150991	purity, grade, stage	0.5474	0.3236	umich
lipid_synthesis_srebp	HMGCR	27	0.3841	0.100493	0.3873	0.134083	purity, grade, stage	0.2608	0.3236	umich
lipid_synthesis_srebp	SQLE	94	0.182	0.021088	0.1857	0.021662	purity, grade, stage	0.1054	0.1083	umich
desaturation_elongation	SCD	91	-0.0073	0.95517	0.0125	0.923645	purity, grade, stage	0.9552	0.9726	umich
desaturation_elongation	FADS1	28	0.2359	0.239429	0.2085	0.293079	purity, grade, stage	0.5131	0.4885	umich
desaturation_elongation	FADS2	56	-0.1304	0.355467	-0.1839	0.189782	purity, grade, stage	0.5924	0.3558	umich
fatty_acid_uptake_oxidation	CD36	94	0.0874	0.638302	0.107	0.529198	purity, grade, stage	0.8664	0.7216	umich
fatty_acid_uptake_oxidation	FABP4	94	0.0197	0.933967	0.0744	0.744234	purity, grade, stage	0.9552	0.9303	umich
fatty_acid_uptake_oxidation	FABP5	94	-0.1247	0.104335	-0.1232	0.114918	purity, grade, stage	0.2608	0.3236	umich
fatty_acid_uptake_oxidation	CPT1A	94	0.0841	0.420204	0.0736	0.486157	purity, grade, stage	0.6303	0.7216	umich
fatty_acid_uptake_oxidation	ACADL	94	-0.9071	0.0	-0.897	0.0	purity, grade, stage	0.0	0.0	umich
fatty_acid_uptake_oxidation	HADHA	94	-0.0246	0.693111	-0.0142	0.820626	purity, grade, stage	0.8664	0.9469	umich
