gene_set	protein	comparison	n_aggressive	n_reference	median_aggressive	median_reference	effect_size	p_value	fdr	expected_direction	observed_direction	direction_reproduced_at_protein_level	is_simulated	source
lipid_synthesis_srebp	SREBF1	aggressive_vs_reference	16	15	0.0211	0.0351	-0.014	0.905604	0.9608	up	down	False	False	umich
lipid_synthesis_srebp	FASN	aggressive_vs_reference	47	47	0.0744	-0.0563	0.1306	0.008406	0.042	up	up	True	False	umich
lipid_synthesis_srebp	ACACA	aggressive_vs_reference	47	47	0.1876	-0.0604	0.248	0.000234	0.0018	up	up	True	False	umich
lipid_synthesis_srebp	ACLY	aggressive_vs_reference	47	47	-0.042	0.0439	-0.0859	0.118398	0.296	up	down	False	False	umich
lipid_synthesis_srebp	HMGCR	aggressive_vs_reference	12	15	-0.1539	-0.3511	0.1972	0.143235	0.3	up	up	True	False	umich
lipid_synthesis_srebp	SQLE	aggressive_vs_reference	47	47	0.2255	0.0606	0.1649	0.011672	0.0438	up	up	True	False	umich
desaturation_elongation	SCD	aggressive_vs_reference	45	46	0.107	0.0519	0.0552	0.898934	0.9608	up	up	True	False	umich
desaturation_elongation	FADS1	aggressive_vs_reference	15	13	0.1051	-0.1811	0.2862	0.160023	0.3	up	up	True	False	umich
desaturation_elongation	FADS2	aggressive_vs_reference	25	31	0.0806	0.0155	0.0651	0.463292	0.6949	up	up	True	False	umich
fatty_acid_uptake_oxidation	CD36	aggressive_vs_reference	47	47	-1.1051	-0.9805	-0.1246	0.805867	0.9608	down	down	True	False	umich
fatty_acid_uptake_oxidation	FABP4	aggressive_vs_reference	47	47	-1.2934	-1.4504	0.157	0.960798	0.9608	down	up	False	False	umich
fatty_acid_uptake_oxidation	FABP5	aggressive_vs_reference	47	47	-0.2116	-0.0932	-0.1184	0.096947	0.2908	down	down	True	False	umich
fatty_acid_uptake_oxidation	CPT1A	aggressive_vs_reference	47	47	-0.1742	-0.2468	0.0726	0.456364	0.6949	down	up	False	False	umich
fatty_acid_uptake_oxidation	ACADL	aggressive_vs_reference	47	47	-1.2571	-0.6148	-0.6422	0.0	0.0	down	down	True	False	umich
fatty_acid_uptake_oxidation	HADHA	aggressive_vs_reference	47	47	-0.2573	-0.2868	0.0294	0.829366	0.9608	down	up	False	False	umich
