protein	umich_coef_adjusted	umich_fdr_adjusted	bcm_coef_adjusted	bcm_fdr_adjusted	concordant_direction_adjusted	significant_both_adjusted
ACACA	0.1582	0.0738	0.1299	0.5274	True	False
ACADL	-0.897	0.0	-0.872	0.0	True	True
ACLY	-0.0769	0.3236	0.0106	0.918	False	False
CD36	0.107	0.7216	0.1423	0.918	True	False
CPT1A	0.0736	0.7216	-0.0739	0.918	False	False
FABP4	0.0744	0.9303	0.205	0.918	True	False
FABP5	-0.1232	0.3236	0.0401	0.918	False	False
FADS1	0.2085	0.4885	0.3337	0.918	True	False
FADS2	-0.1839	0.3558	-0.0335	0.918	True	False
FASN	0.0899	0.3236	0.071	0.918	True	False
HADHA	-0.0142	0.9469	-0.0083	0.918	True	False
HMGCR	0.3873	0.3236	0.1588	0.918	True	False
SCD	0.0125	0.9726	-0.0241	0.918	False	False
SQLE	0.1857	0.1083	0.1149	0.918	True	False
SREBF1	0.0076	0.9726	-0.0747	0.918	False	False
