gene_set	protein	expected_direction	umich_median_agg	umich_median_ref	umich_effect	umich_pval	umich_fdr	umich_direction	umich_reproduced	bcm_median_agg	bcm_median_ref	bcm_effect	bcm_pval	bcm_fdr	bcm_direction	bcm_reproduced	replicated_both	significant_both
lipid_synthesis_srebp	ACACA	up	0.1876	-0.0604	0.248	0.000234	0.0018	up	True	23.8876	23.6705	0.2171	0.018545	0.1391	up	True	True	False
fatty_acid_uptake_oxidation	ACADL	down	-1.2571	-0.6148	-0.6422	0.0	0.0	down	True	23.1488	23.7212	-0.5724	0.0	0.0	down	True	True	True
lipid_synthesis_srebp	ACLY	up	-0.042	0.0439	-0.0859	0.118398	0.296	down	False	27.5582	27.5737	-0.0155	0.907813	0.9727	down	False	False	False
fatty_acid_uptake_oxidation	CD36	down	-1.1051	-0.9805	-0.1246	0.805867	0.9608	down	True	22.4996	22.4103	0.0893	0.624896	0.9373	up	False	False	False
fatty_acid_uptake_oxidation	CPT1A	down	-0.1742	-0.2468	0.0726	0.456364	0.6949	up	False	24.5594	24.6175	-0.0581	0.520016	0.8667	down	True	False	False
fatty_acid_uptake_oxidation	FABP4	down	-1.2934	-1.4504	0.157	0.960798	0.9608	up	False	26.3902	26.031	0.3592	0.463323	0.8667	up	False	False	False
fatty_acid_uptake_oxidation	FABP5	down	-0.2116	-0.0932	-0.1184	0.096947	0.2908	down	True	28.4619	28.3715	0.0904	0.699502	0.9539	up	False	False	False
desaturation_elongation	FADS1	up	0.1051	-0.1811	0.2862	0.160023	0.3	up	True	18.8518	18.5053	0.3464	0.24716	0.7415	up	True	True	False
desaturation_elongation	FADS2	up	0.0806	0.0155	0.0651	0.463292	0.6949	up	True	20.0097	19.9587	0.051	0.901523	0.9727	up	True	True	False
lipid_synthesis_srebp	FASN	up	0.0744	-0.0563	0.1306	0.008406	0.042	up	True	27.3516	27.2276	0.124	0.082393	0.3264	up	True	True	False
fatty_acid_uptake_oxidation	HADHA	down	-0.2573	-0.2868	0.0294	0.829366	0.9608	up	False	28.4741	28.4278	0.0463	0.887451	0.9727	up	False	False	False
lipid_synthesis_srebp	HMGCR	up	-0.1539	-0.3511	0.1972	0.143235	0.3	up	True	18.1676	17.953	0.2146	0.389578	0.8348	up	True	True	False
desaturation_elongation	SCD	up	0.107	0.0519	0.0552	0.898934	0.9608	up	True	21.7774	21.7867	-0.0093	0.978634	0.9786	down	False	False	False
lipid_synthesis_srebp	SQLE	up	0.2255	0.0606	0.1649	0.011672	0.0438	up	True	21.3463	21.1747	0.1716	0.087038	0.3264	up	True	True	False
lipid_synthesis_srebp	SREBF1	up	0.0211	0.0351	-0.014	0.905604	0.9608	down	False	19.3261	19.3979	-0.0718	0.319533	0.7988	down	False	False	False
